Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
566255	530365	9358	9187	9702	9624.625	9796.375	10028	10004	10116.4375	7741.3125	6114.1875	Nubes
555845	549625	1858	1835	1533	1951.375	3585.875	4271.9375	3983	4621	2768.4375	1734.3125	Vegetacion
602605	517165	2129	2078	2159	2154.3125	2707.5	2782.6875	3030	3028.625	2732.3125	2454.6875	Urbano
506885	514385	2160	2099	1871	2224.25	3504.625	4091.625	3731	4483.9375	3483.875	2221.0625	Nubes
548025	494205	1819	1894	1464	1984.8125	3523.4375	4021.3125	3935	4314.4375	2686.25	1705.625	Vegetacion
597925	503425	2548	2564	2606	2628.5	2743.6875	2796.625	2832	2917.1875	3156.75	2905.875	Urbano
527225	533985	2120	2112	2181	2150.75	2131.5	2309	2060	2089.625	1263.3125	1137	Agua
508625	509625	4877	4685	4957	5129	5685.1875	6163.5	5193	6447.5625	5399.6875	4409.6875	Nubes
525885	533695	2175	2157	2116	2343.4375	2847.125	3134.5	2956	3423.3125	3570.8125	2654.75	Agua
595405	586225	2547	2566	2353	2658.8125	4190.5	4787.75	4570	5144.125	3541.9375	2246.6875	Nubes
505685	509805	9072	9119	11042	11098.4375	11747.75	12373.75	9687	12746.25	8435.625	6488.3125	Nubes
550055	498995	1956	1940	1654	2140.0625	3701.8125	4381.8125	4140	4783.9375	3259.625	2076.375	Vegetacion
584355	501545	2336	2293	2234	2431.125	3024.9375	3330.875	3289	3451.625	2601.3125	2027.1875	Urbano
567475	502575	5587	5495	5707	5711.25	6139.375	6533.1875	5915	6714.3125	4630.1875	3588.5	Nubes
501285	504515	1984	1912	1575	1922.125	3852.875	4882.375	4722	5335.875	2883.625	1799.875	Nubes
599845	508105	3684	4002	3508	3062	3209.1875	3357.9375	4470	3555.8125	3448.875	2994.25	Urbano
598775	515645	3376	3694	3527	3038.9375	3148.3125	3337	3761	3330.625	3113.8125	2732.8125	Urbano
511365	510445	4811	4924	5296	5186.9375	5697.5	6006.875	5519	6246.375	5491.375	4472.5625	Nubes
501525	505045	2168	2133	2033	2320.125	3476.625	4033.0625	3814	4510.8125	4323	2612.5625	Nubes
506275	511255	3085	3161	3126	3013.375	3760.3125	4133.1875	4347	4289.625	3677.3125	2319.875	Nubes
550405	562815	7544	7372	7766	7779.5	8003.8125	8323.375	7694	8438.3125	6560.25	5057.5625	Nubes
552045	510195	1884	1923	1575	2203.25	3584.3125	4176.9375	4077	4485.6875	3119.375	2072.875	Vegetacion
510805	510725	1904	1721	1463	1631.25	2292.25	2583.4375	2426	2704.8125	1871.375	1342	Nubes
590425	498575	1622	1577	1410	1740.125	2548.75	2796.125	2824	2964.9375	2313	1691.3125	Urbano
559505	534285	6908	6805	7078	6987.125	7402.8125	7682.125	7558	7856.125	6766.375	5583.5	Nubes
502315	542075	7392	7309	7618	7487.125	7747.9375	8014.25	7696	8203.0625	6341.3125	4762.25	Nubes
591015	510025	2688	2570	2691	3320.1875	3345.3125	3491.3125	2643	3750.1875	5352.8125	6384.125	Urbano
535635	560185	1959	1907	1685	1955.6875	3185.5625	3747.625	3631	4154.75	3113.125	1995	Vegetacion
597615	510755	2534	2372	2405	2067.0625	2146.3125	2418.25	2732	2680.25	2916.125	2798.9375	Urbano
594385	510045	2028	2052	1875	2135.375	2930.0625	3205.1875	3338	3368	2751.625	2284	Urbano
508635	508735	9682	9462	9740	9046.4375	9004.5625	9027.3125	10421	8909.4375	6672.9375	4161.5625	Nubes
591675	499155	1736	1761	1636	1964.375	2741.3125	3021.9375	3064	3233.875	2667.375	1938.5	Urbano
502825	507095	1938	1869	1503	1883	3640.9375	4361.375	4240	4723.5625	2795.8125	1698.4375	Nubes
511905	519405	1957	1932	1574	1978.125	3673.625	4584.0625	4663	5032.1875	2836.6875	1739.125	Nubes
583605	500895	1875	1818	1643	1866.75	1851.625	1852.75	1622	1763.875	1479.75	1428.75	Urbano
598995	502995	1963	1973	1837	2085.9375	2949.0625	3240.4375	3164	3476.5625	2798	2316.6875	Urbano
502525	516455	6019	5917	6238	6197.5625	6847.5625	7332.6875	6873	7566	6337.6875	5235.9375	Nubes
548635	559445	3592	3432	3255	2973	3420.6875	3608.75	4248	3628.0625	2958.3125	2341.4375	Nubes
534105	562255	1928	1924	1556	2133.8125	3821.8125	4553.9375	4226	5022	3416.4375	2104.875	Vegetacion
